天体名称,距离模数,退行速度
PGC014626,32.96,1781
UGC02988,33.71,3840
PGC014768,32.19,1853
PGC014780,35.24,8822
NGC1556,31.13,817
UGC03009,33.15,3777
NGC1558,33.91,4372
ESO550-024,30.26,786
UGC03028,33.64,5527
UGC03066,34.07,4595
UGC03078,34.05,5462
UGC03084,33.33,4032
UGC03089,33.82,4592
ESO202-041,30.35,1483
UGC03108,33.53,4029
ESO157-049,31.87,1489
UGC03114,33.73,3855
PGC015869,33.16,2429
UGC03148,34.21,4698
UGC03151,33.91,4580
UGC03143,34.19,4694
UGC03144,31.47,1784
NGC1688,30.3,1042
ESO421-019,31.25,1328
UGC03167,34.22,4857
NGC1679,30.05,899
UGC03186,34.11,4513
ESO361-015,31.09,1012
PGC016322,33.49,3754
NGC1699,33.54,3844
IC0396,30.67,1015
NGC1723,32.5,3629
ESO486-003,32.81,1624
ESO552-052,34.05,4453
UGC03237,33.63,4116
NGC1784,32.22,2199
NGC1824,30.36,1055
NGC1797,34.38,4356
PGC016772,32.44,2244
UGC03250,34.87,4644
ESO553-017,32.9,1828
PGC016875,32.42,2556
PGC016894,32.19,1851
NGC1853,32.26,1217
ESO305-017,32,891
ESO423-002,31.54,1304
UGC03253,33.99,4285
NGC1879,31.42,1071
ESO362-019,31.18,1108
UGC03276,32.53,2648
UGC03257,31,2346
NGC1888,32.98,2290
PGC017217,33.04,2359
UGC03303,29.27,440
NGC1924,32.42,2430
IC2135,30.84,1141
UGC03319,34.22,4344
UGC03329,34.1,5206
ESO554-018,33.36,2711
UGC03332,34.32,5767
ESO120-012,30.53,1150
ESO363-015,30.82,1081
ESO487-035,31.09,1563
NGC2049,34.15,2813
PGC017716,29.05,286
UGC03351,33.44,4500
PGC017787,36.64,14796
UGC03354,33.26,3171
ESO555-002,33,2210
UGC03365,34.73,5266
IC0438,32.9,2966
PGC018109,34.27,5854
UGC03379,33.66,4233
IC2152,32.15,1701
UGC03373,33.91,4905
ESO425-002,32.34,1208
PGC018373,32.86,2066
PGC018467,34.04,4386
ESO425-011,33.82,3024
UGC03406,34.19,5316
UGC03403,31.22,1390
PGC018581,32.11,1904
UGC03422,34.05,4185
ESO121-020,28.92,372
ESO489-029,32.09,1519
UGC03413,33.24,4366
PGC018813,34.36,5416
PGC018848,32.04,2675
PGC018855,30.52,587
ESO556-015,32.14,1811
UGC03459,33.35,2781
PGC018989,32.42,4372
ESO426-008,35.11,6866
ESO489-056,29,304
ESO490-005,35.38,6929
ESO490-007,32.39,2656
UGC03484,35.08,7500
ESO557-005,36.49,10948
UGC03498,33.36,3713
PGC019325,34.71,5835
PGC019343,30.55,578
NGC2263,32.16,2552
NGC2273A,31.56,2186
ESO122-001,32.27,2401
ESO206-020A,20.16,13
UGC03524,33.35,3834
IC2171,30.2,608
ESO427-006,33.25,2591
NGC2283,29.97,662
NGC2273B,31.59,2188
ESO490-045,31.9,1514
NGC2293,31.14,1841
UGC03587,31.9,1196
UGC03575,33.88,4008
UGC03540,32.44,2096
ESO491-009,32.67,1857
UGC03605,35.77,7881
UGC03598,30.58,2078
ESO491-012,33.14,2383
UGC03627,34.37,6330
UGC03630,32.02,1632
UGC03637,32.68,3426
PGC020125,28.61,345
ESO427-034,32.29,2179
PGC020274,32.44,1554
ESO491-020,33.45,2672
UGC03731,34.15,4864
UGC03717,33.61,4314
UGC03751,32.1,2235
UGC03770,34.94,6317
UGC03749,32.19,1261
ESO428-015,31.75,1868
UGC03777,32.83,3176
ESO428-018,32.69,1870
ESO428-017,32.69,2180
UGC03784,34.07,2541
UGC03783,35.1,6126
ESO367-017,32.27,2569
UGC03808,33.48,2332
PGC020827,31.08,1456
PGC020830,34.78,5032
UGC03820,33.03,2444
UGC03830,30.8,1226
ESO428-028,32.44,2046
PGC021028,33.82,2321
ESO429-001,32.73,1903
ESO208-021,30.64,796
PGC021302,27.53,314
NGC2427,30.07,745
UGC03909,31.85,1069
UGC03921,33.85,2601
ESO560-004,32.87,1979
UGC03955,33.62,4986
PGC021549,36.02,8329
PGC021614,29.51,190
ESO163-014,32.9,2634
UGC03979,34.04,4163
PGC021697,34.58,5245
ESO560-012,33.29,3110
PGC021772,29.83,488
PGC021831,33.88,4678
ESO560-013,33.56,3041
IC2207,34.45,4773
ESO494-007,32.05,1350
UGC04113,34.96,5231
ESO561-003,33.14,3318
ESO209-009,30.5,890
PGC022401,35.21,7343
UGC04148,32.25,726
UGC04195,34.18,4982
ESO494-021,32.82,1376
ESO494-026,29.06,750
UGC04238,31.39,1676
PGC022976,35.63,9458
ESO430-026,32.6,1436
NGC2559,31.01,1340
UGC04306,31.86,2390
PGC023262,32.16,2028
PGC023420,33.74,4066
IC2327,33.57,2538
ESO495-009,31.24,1252
PGC023574,33.92,4526
IC2367,31.91,2247
UGC04395,33.46,2140
PGC023709,34.93,5209
PGC023757,34.46,6371
UGC04413,32.57,2414
ESO431-013,32.9,2612
ESO562-018,34.83,4524
ESO431-016,32.5,2581
PGC024189,34.44,5715
ESO563-002,31.86,1445
NGC2591,31.41,1464
UGC04514,31.13,732
ESO432-002,32.76,2631
ESO496-010,29.67,593
UGC04625,35.64,8322
ESO563-026,33.02,3199
UGC04621,32.64,2269
ESO371-020,32.15,2141
PGC024870,32.93,1800
UGC04655,34.87,6061
PGC024988,35.77,9068
UGC04659,32.84,1784
IC0522,34.18,5126
NGC2722,32.66,2593
UGC04725,33.14,1952
UGC04701,33.05,1544
NGC2731,31.67,2453
ESO564-012,34.53,3346
NGC2750,29.98,2605
PGC025563,34.18,3585
NGC2772,34.43,3214
ESO314-005,34.12,4583
PGC025794,34.47,5040
UGC04800,33.21,2490
PGC025886,32.46,1657
UGC04824,32.66,2219
ESO497-022,32.38,2205
ESO564-032,32.73,2554
ESO126-003,33.53,2699
ESO433-010,32.77,1903
UGC04867,33.56,2490
ESO564-033,34.82,4965
NGC2811,32.58,2163
NGC2821,33.3,2220
AGC249525,26.07,75
IC2461,33.59,2240
PGC026411,34.01,3258
ESO372-016,32.75,2201
UGC04970,33.48,2400
ESO565-001,31.18,638
UGC04945,29.14,788
ESO126-010,32.86,1925
IC2469,31.98,1442
UGC04982,33.13,2726
AGC198606,22.89,-47
NGC2880,31.68,1562
NGC2904,31.84,2119
ESO434-010,32.8,2285
ESO434-011,31.84,2340
PGC027054,34.1,4168
UGC05086,29.36,404
NGC2930,35.13,7305
ESO565-029,32.24,2199
ESO091-016,31.01,1776
ESO373-019,32.86,2586
PGC027810,33.52,2522
ESO373-021,33.49,2426
UGC05209,30.09,502
UGC05218,33.55,2966
ESO434-034,30.88,779
NGC2990,33.17,2943
NGC3001,33.73,2249
UGC05203,32.4,1681
PGC028308,33.17,2514
ESO499-009,32.77,1874
NGC3038,32.97,2566
PGC028380,33.11,2341
PGC028529,27.95,66
UGC05336,27.93,160
ESO435-015,32.39,2200
ESO499-025,32.07,2200
PGC028826,27.91,189
UGC05378,33.76,4024
NGC3094,33.25,2308
UGC05393,32.15,1418
PGC029167,27.83,161
ESO499-037,31.14,744
PGC029194,25.56,150
NGC3113,31.18,870
PGC029231,27.73,-
UGC05428,27.81,-29
NGC3057,31.16,1670
PGC029299,29.1,550
PGC029306,34.47,7088
NGC3124,32.86,3364
NGC3118,32.24,1306
PGC029466,33.86,2656
ESO435-044,33.29,1984
IC2554,31.96,1183
NGC3137,31.09,893
UGC05497,27.85,277
IC2556,32.87,2286
ESO436-001,32.92,2401
IC2560,32.41,2705
ESO213-011,31.4,2519
IC0600,31.91,1151
ESO263-031,32.2,2459
ESO436-014,33.29,3676
NGC3241,33.02,2802
ESO317-023,33.07,2534
NGC3225,33.46,2200
PGC030664,27.71,160
ESO568-012,34.51,5500
PGC030719,35.85,9596
NGC3250C,33.12,2373
NGC3257,32.66,2988
NGC3256B,32.57,2489
PGC031286,27.6,-
NGC3258C,32.58,2346
NGC3270,34.61,6194
ESO263-051,32.2,2445
IC2588,33.46,3308
NGC3258D,31.45,2271
IC2589,32.06,3465
ESO317-046,30.9,745
ESO436-038,34.14,2546
IC2596,29.44,3174
NGC3281D,32.42,2428
ESO436-040,33.23,4222
NGC3285B,33.08,2750
UGC05740,32.05,693
NGC3366,33.11,2666
ESO501-023,29.23,842
ESO501-022,33.75,2695
ESO437-012,33.02,3356
ESO501-041,33.89,3349
ESO501-037,33.02,3470
ESO437-014,32.9,2648
NGC3306,33.2,2845
UGC05765,32.96,1934
ESO437-019,34.08,4160
ESO437-018,34.03,3159
ESO437-022,34.12,4180
ESO501-065,31.29,4208
UGC05791,32.19,889
ESO437-039,32.99,3540
NGC3347C,31.83,2442
ESO501-078,33.53,4238
ESO318-003,33.09,2548
ESO501-079,32.87,999
NGC3347,32.15,2787
ESO376-016,29.2,454
ESO501-082,34.28,4323
ESO318-004,32.74,2720
ESO501-088,34.24,3688
NGC3377A,29.85,481
ESO318-013,29.2,501
UGC05944,30.31,831
NGC3413,31.05,614
NGC3419A,33.38,2988
PGC032548,32.98,2317
ESO569-014,32.13,1867
ESO376-023,34.36,4547
UGC05990,32.05,1557
PGC032667,28.03,230
NGC3449,33.28,3072
NGC3454,31.57,1026
NGC3435,34.53,5255
UGC06083,32.52,862
ESO265-003,31.23,1173
NGC3513,29.45,1008
ESO377-004,33.16,2946
UGC06162,32.53,2261
ESO265-007,29.8,852
ESO438-005,32.09,1302
ESO502-020,31.31,1192
ESO377-021,32.75,2557
NGC3589,31.97,2037
ESO377-031,33.28,2812
UGC06296,31.55,904
ESO377-034,31.88,2410
NGC3611,32.89,1502
UGC06332,34.82,6166
NGC3622,31.57,1412
ESO570-019,32.01,1158
ESO319-016,34.93,2682
UGC06378,31.68,1425
NGC3652,31.86,1998
NGC3663,34.33,4865
NGC3654,32.09,1691
NGC3673,31.39,1751
NGC3683A,32.87,2487
NGC3701,32.98,2764
NGC3752,32.03,2054
NGC3735,32.88,2818
NGC3755,32.68,1579
UGC06586,34.19,3901
PGC035978,34.77,6817
ESO320-014,28.89,454
PGC036132,34.61,6715
IC0718,31.72,1892
PGC036349,34.53,5928
NGC3901,32.57,1828
PGC036643,31.8,1573
PGC036683,34.07,6978
NGC3887,31.3,1049
NGC3905,35.07,5625
UGC06792,31.67,873
ESO320-026,33.42,2597
NGC3930,30.59,938
PGC037153,33.43,6602
UGC06837,35.31,5919
NGC3956,31.72,1490
ESO379-007,28.67,454
ESO572-018,31.59,1438
NGC3981,31.93,1555
ESO320-035,32.39,2804
ESO572-024,32.17,1720
ESO572-030,31.01,1625
UGC06955,31.07,924
NGC4020,30.43,750
ESO572-034,30.11,956
ESO505-003,31.59,1620
UGC07019,31.22,1637
ESO440-044,29.82,2022
ESO505-008,31.28,1699
ESO505-009,32.67,1966
ESO440-046,30.02,1578
IC2996,31.88,2080
NGC4094,31.14,1293
IC2995,31.12,1674
ESO379-027,33.07,2673
IC3005,31.93,1546
ESO441-007,31.79,2042
IC3015,31.94,1855
ESO441-011,32.31,1962
ESO441-012,32.37,2002
ESO505-023,32.28,1508
PGC038685,28.43,358
NGC4141,32.87,1993
IC3021,33.76,2470
ESO441-014,33.4,1989
IC0764,31.76,1961
IC3033,31.27,205
IC3036,30.36,-70
ESO321-014,27.59,425
UGC07239,32.57,1146
ESO380-001,31.31,2508
UGC07257,30.47,958
PGC039145,27.36,-
ESO321-016,32.07,2994
ESO380-006,32.27,2763
NGC4219,31.6,1797
UGC07301,32.12,761
ESO380-008,31.02,1926
UGC07356,29.31,328
ESO321-025,30.97,1964
NGC4356,31.01,1024
NGC4373,32.99,3239
NGC4384,31.22,2584
NGC4373A,32.84,2754
ESO322-009,31.84,3366
IC3341,30.33,366
ESO380-034,32.3,2872
UGC07599,28.37,322
ESO322-017,32.59,3220
UGC07605,28.34,334
PGC041093,29.65,456
NGC4462,32.43,1645
NGC4504,31.22,885
PGC041725,31.39,1185
NGC4520,35.29,7524
NGC4562,30.22,1347
PGC041965,30.88,875
PGC041978,33.26,9128
UGC07774,32.11,574
ESO442-013,31.96,1354
NGC4574,32.93,2783
ESO322-038,32.46,2946
ESO322-040,33.37,3172
NGC4593,33.35,2364
NGC4602,32.65,2437
NGC4603,32.81,2412
NGC4619,34.95,6952
IC0807,35.06,10822
NGC4616,32.96,4429
NGC4645,32.36,2434
ESO381-014,33.18,3135
ESO381-018,28.68,452
UGC07934,35.94,9698
PGC043020,31.13,1374
NGC4675,34.51,4875
UGC07949,27.39,368
NGC4680,32.91,2327
NGC4693,32.42,1809
NGC4696D,32.76,2464
PGC043280,33.01,2680
PGC043301,32.3,2142
PGC043319,34.3,3751
PGC043345,29.39,1198
PGC043340,33.51,2961
NGC4700,29.09,1294
UGC07978,35.09,8095
ESO322-101,32.16,1781
PGC043379,32.67,2705
NGC4708,34.03,4010
PGC043412,32.82,2705
NGC4709,33.16,4498
PGC043458,32.4,2280
ESO268-046,31.85,2120
NGC4749,32.56,1883
PGC043679,32.08,2150
PGC043690,33.08,2449
NGC4767A,33.28,2741
ESO323-034,32.67,4143
ESO507-041,32.58,3026
ESO507-042,33.17,3080
PGC043840,35.07,7966
NGC4767,32.58,2889
NGC4786,34.11,4529
ESO443-009,28.88,493
PGC043970,32.39,2358
NGC4802,30.29,918
ESO219-010,28.34,-
IC3913,34.15,7517
IC3908,31.41,1198
NGC4818,30.18,964
IC3917,35.77,6649
PGC044278,31.85,1165
PGC044268,35.02,7461
NGC4842,34.94,7322
PGC044358,31.69,1378
PGC044351,34.81,6065
PGC044367,34.65,7243
PGC044390,35.24,7140
IC3943,34.91,6819
NGC4854,35.7,8396
PGC044506,31.34,1508
IC3959,35.23,7043
PGC044560,36.2,7823
PGC044581,33.78,6496
PGC044592,33.81,8013
PGC044616,34.68,6932
PGC044681,29.31,699
IC3998,34.73,9434
ESO443-021,33.34,2661
PGC044662,34.65,8105
ESO269-028,33.64,3102
PGC044704,35.08,6192
IC4011,34.88,7283
PGC044740,34.98,6152
ESO381-041,31.91,2409
PGC044763,35.09,7018
NGC4906,35.09,7514
PGC044792,34.85,7659
PGC044809,35.23,8437
PGC044805,34.39,7933
PGC044821,34.6,8581
NGC4897,33.37,2445
IC4062,35.38,10902
PGC044848,34.42,7654
PGC044897,35.25,7658
ESO507-067,32.66,2911
PGC044928,34.85,5817
PGC044929,35.57,7564
PGC044982,28.8,627
ESO219-021,30.88,1195
PGC044975,34.95,7592
IC4111,33.22,7776
ESO269-037,27.49,568
NGC4930,30.58,2420
NGC4939,32.82,3009
PGC045190,33.69,5522
NGC4948,30.01,1234
NGC4947,31.96,2246
PGC045370,30.47,891
ESO508-007,32.16,2848
ESO508-011,32.19,2476
ESO575-061,32.52,1517
NGC4981,31.65,1588
ESO323-085,30.43,2958
ESO269-052,33.8,3040
NGC4980,31.16,1284
PGC045650,32.21,2456
ESO508-019,32.99,2826
ESO269-057,33.21,2933
ESO576-001,34.48,2756
ESO269-058,27.87,227
NGC5002,30.42,1111
ESO576-003,32.39,2834
NGC5004A,34.2,7289
ESO576-005,34.12,2634
NGC5011A,32.51,3003
UGC08294,34.48,6133
ESO269-066,27.87,615
ESO269-068,27.87,480
ESO443-083,31.53,2227
UGC08308,28.13,242
PGC045981,36.08,7135
ESO443-085,31.42,2251
NGC5042,30.66,1259
NGC5051,34.51,4278
ESO508-034,31.95,1777
IC4216,32.75,2745
ESO382-031,31.38,1715
ESO576-026,31.63,1825
UGC08365,31.14,1318
NGC5068,28.56,550
ESO382-041,32.28,1601
ESO576-032,30.39,1497
ESO269-085,31.48,2698
ESO382-045,30.69,1304
ESO508-051,32.66,1999
ESO576-040,32.33,1963
NGC5090,32.88,2782
NGC5104,34.31,5500
NGC5107,31.42,1004
PGC046663,27.99,575
NGC5105,32.66,2805
PGC046680,27.92,-
PGC046710,34.53,6746
IC4232,35.44,9352
ESO508-067,35.17,7429
IC4239,37.11,14567
PGC046885,28.39,346
NGC5145,33.62,1300
ESO508-075,35.44,9813
NGC5121A,31.22,1283
IC4247,28.57,282
ESO382-067,32.93,2325
ESO444-037,32.61,1760
ESO324-023,30.77,1288
NGC5152,34.61,3766
IC4263,33.11,2801
NGC5161,31.63,2246
ESO383-005,33.54,3465
PGC047514,34.15,4122
NGC5188,31.8,2271
NGC5206,27.53,418
NGC5238,28.27,330
ESO270-017,29.21,668
ESO444-078,28.67,441
NGC5219,32.03,2382
ESO324-044,32.5,2384
UGC08642,32.6,2515
NGC5254,32.26,2232
UGC08651,27.47,276
IC4316,28.19,451
UGC08658,32.66,2127
NGC5264,28.24,349
PGC048515,27.83,-
UGC08693,33.08,2499
NGC5301,31.6,1598
UGC08737,32.86,1924
UGC08733,32.4,2422
ESO383-087,27.52,191
NGC5304,34.01,3650
NGC5320,32.8,2692
ESO383-091,30.74,939
PGC049153,35.7,8562
ESO384-002,30.73,1258
ESO445-066,34.96,7134
UGC08833,27.55,292
ESO384-015,32.85,3417
NGC5365A,32.53,2612
ESO384-016,28.26,373
UGC08882,29.69,465
ESO510-026,31.75,2256
IC4351,32.41,2555
ESO445-085,34.39,4162
ESO221-022,32.67,2757
NGC5425,32.55,2179
NGC5443,32.51,1919
NGC5440,33.67,3761
UGC08988,32.63,2213
ESO384-043,34.48,4284
UGC09024,32.06,2355
NGC5468,33.4,2793
NGC5464,32.13,2575
ESO325-055,34.05,3897
PGC050620,32.09,4882
NGC5494,33.39,2504
IC4386,31.54,1736
PGC050911,29.74,454
IC4390,31.52,1981
PGC051017,30.7,713
UGC09169,30.96,1278
NGC5569,31.2,1768
NGC5556,31.1,1278
NGC5577,31.42,1476
PGC051291,32.68,2702
IC4402,31.17,1512
IC4407,33.37,2679
PGC051473,36.18,11190
PGC051523,30.79,1665
NGC5671,35.21,9138
PGC051659,27.79,255
UGC09291,32.92,2981
UGC09303,34.63,4360
ESO385-031,32.84,3000
NGC5653,33.22,3639
ESO385-033,32.12,2937
ESO385-032,32.85,2722
NGC5645,30.87,1371
UGC09345,34.1,2304
NGC5661,33.21,2357
UGC09380,31.68,1682
UGC09405,28.82,355
NGC5708,32.41,2816
UGC09448,33.13,2324
NGC5688,32.63,2666
IC4472,32.33,2740
NGC5730,32.2,2636
PGC052460,32.44,1848
ESO386-016,35.54,7177
ESO580-022,31.69,2159
IC1055,33.17,2861
ESO580-029,32.66,2527
NGC5756,31.92,2094
PGC052853,32.83,1998
PGC052882,35.19,12575
ESO580-041,32.33,2888
NGC5777,33.16,2294
PGC053093,33.19,2541
PGC053134,30.9,1940
NGC5770,31.37,1488
ESO273-014,28.21,926
NGC5786,32.02,2867
ESO327-039,31.82,2806
UGC09640,35.74,10072
PGC053634,33.01,2887
ESO223-009,29,462
UGC09660,30.16,724
PGC053764,32.99,2414
PGC053779,31.59,1840
PGC053796,33.38,2894
UGC09749,19.29,-92
ESO581-025,32.05,2222
NGC5878,32.25,1961
ESO274-001,27.23,407
PGC054411,31.53,1323
UGC09798,35.81,11336
ESO514-007,32.33,2243
PGC054774,38.89,18239
PGC054817,32.61,1932
ESO514-014,34.28,3636
ESO514-022,34.14,4388
NGC5984,31.44,1166
IC4582,32.86,2256
NGC6000,32.65,2141
ESO515-010,34.39,5694
PGC056286,36.21,11091
UGC10095,32.47,2022
PGC056443,35.82,9716
ESO583-008,35.65,7377
PGC057064,36.37,10358
ESO451-008,34.58,4635
IC1197,31.77,1435
UGC05456,30.14,426
ESO136-024,33.53,4385
ESO584-007,35.65,9493
UGC10288,32.66,2096
UGC10297,32.83,2412
ESO137-007,33.19,4839
ESO137-010,33.64,3283
IC4596,35.83,7606
NGC6106,31.89,1527
ESO137-018,28.84,484
NGC6172,34.64,5074
UGC10483,36.2,12384
ESO517-013,35.76,8275
PGC058798,31.64,1620
PGC059076,35.41,9001
UGC05642,33.1,2222
UGC10743,33.05,2680
PGC059808,35.05,8275
NGC3279,32.47,1285
IC4660,30.04,1433
NGC6365,35.27,8216
ESO138-024,31.96,2761
UGC10852,32.56,2907
NGC6372,33.07,4913
UGC10874,35.53,6968
PGC060376,35.42,8883
NGC3332,34.54,5723
PGC060771,36.24,1992
UGC10985,31.07,1949
NGC6467,33.26,3195
NGC6484,33.61,3284
UGC11030,32.22,1875
UGC11041,34.23,5048
UGC11050,34.27,5050
ESO139-046,32.1,2721
UGC11074,32.05,2028
ESO139-049,32.28,2657
PGC061289,34.03,4825
PGC061353,32.19,1932
NGC6548,31.79,2357
UGC05897,32.75,2611
ESO140-006,31.84,2281
NGC6585,32.48,3032
UGC11182,34,4495
IC4694,32.46,2689
PGC061658,30.55,3146
UGC11188,33.7,5454
UGC11194,34.02,4916
ESO182-010,31.68,3478
NGC6627,34.33,5434
UGC11255,35.38,9937
UGC11254,33.79,5182
UGC11295,33.08,2566
UGC11275,35.23,5655
IC4721,31.48,2157
UGC11301,34.3,4675
UGC11334,35.01,4773
UGC11317,34.96,6777
UGC11344,33.83,4025
NGC6673,30.16,1060
UGC11350,34.13,4887
IC4758,33.9,4387
UGC11371,33.43,3945
ESO396-007,34.34,5862
UGC11380,32.19,3090
UGC11385,33.15,3300
IC4810,32.71,3116
UGC11394,34.06,4432
IC4819,31.55,1764
UGC11404,32.88,4114
IC4821,31.99,2638
ESO282-018,33.97,5584
IC4837A,33.56,2790
NGC6796,32.86,2410
UGC11433,33.58,4654
ESO525-004,34.61,6147
NGC6788,33.18,3110
UGC11459,33.38,3347
PGC063540,34.47,6094
PGC063556,29.65,1628
ESO460-031,34.59,5852
ESO398-029,34.44,5686
ESO594-017,31.32,1826
ESO461-006,34.44,5986
IC4901,31.26,2068
PGC063832,34.07,4987
ESO339-008,34.17,5684
PGC063925,36.33,12078
IC4919,33.78,4210
UGC11515,30.35,3475
PGC064373,34.89,5698
NGC6887,32.39,2660
ESO340-009,32.29,2594
UGC11537,34.33,5560
NGC6911,32.45,2704
ESO340-017,32.98,2627
PGC064534,34.4,5778
UGC11545,31.2,3179
NGC6901,34.32,4959
NGC6906,34.08,5027
NGC6902,32.33,2786
UGC11552,34.42,4709
ESO400-025,32.5,2210
PGC064812,33.85,5731
ESO340-038,33.7,5536
NGC6923,32.55,2876
UGC11584,34.75,5511
ESO234-043,31.4,2415
NGC6949,32.35,2984
ESO340-042,31.63,2664
UGC11595,33.64,4175
UGC11603,33.89,5423
